ORD,DFW,LAX,ATL,DEN,SFO,IAH,PHX,LAS,SEA,BOS,LGA,JFK,MSP,EWR,DTW,MCO,CLT,BWI,PHL,SLC,MIA,SAN,MDW,DCA,FLL,DAL,HOU,TPA,BNA,STL,PDX,OAK,AUS,CLE,SMF,SJC,SNA,MCI,IAD
-18,-15,-10,-9,6,-8,31,77,118,35,-4,2352,-18,193,10,8,-19,-13,-15,-1,352,55,-20,-10,393,-5,10,2,12,-11,-15,60,-18,4,-18,-19,-20,0,-4,-1
-19,-20,-20,-10,-20,48,-4,8,-20,-4,1,39,2341,81,19,-20,2344,63,-19,7,43,2,14,6,52,52,61,-13,-9,-16,59,102,11,-17,-1,-20,25,-13,-9,-14
45,22,33,14,7,114,22,-8,6,51,-17,-5,142,60,-12,38,57,97,29,-3,-3,-6,-3,-19,30,-1,-16,17,21,0,2348,117,-13,-19,-7,465,-11,128,-19,9
-5,15,-14,7,-14,-8,8,8,-13,-14,14,10,11,-3,-15,-10,19,1,-15,-12,212,57,-17,0,65,36,27,26,53,40,-9,-14,9,-7,-4,42,-15,-15,18,-12
-19,1,-6,72,5,-17,-9,-2,2350,-4,-20,17,-10,-20,-10,-10,-18,102,28,19,7,-6,0,84,210,-19,4,-9,-14,-11,-13,-14,-12,-8,0,-11,-20,15,2341,2341
-17,-17,-10,-5,-4,-4,7,59,13,72,85,55,-2,-5,-13,-7,47,-6,-17,9,857,-17,-14,-9,4,-14,2348,37,19,-13,66,-15,-4,11,-5,-13,149,115,-16,-18
-19,-17,-13,-3,63,-12,-7,107,58,-4,-20,72,-3,21,-17,94,15,-9,13,136,22,4,-14,-8,159,-7,55,3,-2,35,-12,122,-2,-11,2341,-10,153,114,-18,-6
-12,91,28,8,-17,-15,-6,10,-11,-16,-16,-7,28,10,2,-15,-11,33,-1,18,-5,-18,-3,-15,41,-15,-13,-12,6,-14,26,-10,-14,-19,-14,25,132,53,42,1
-9,160,7,-20,18,-5,0,-12,55,9,-3,-17,5,7,-5,-16,3,2,-14,-13,21,-16,5,-18,297,-6,2346,-16,-13,19,-10,-12,-15,-17,-20,-11,133,12,-17,277
23,-8,158,-20,-9,-14,-18,176,-2,-13,-3,179,256,180,-2,-2,111,-13,0,-11,-15,5,-11,30,17,-11,2354,-20,114,43,55,-18,-20,-20,-17,-10,216,-17,-20,-8
-12,-13,-2,-18,27,-18,-11,-11,5,6,6,-18,-10,84,37,118,-12,-16,3,1,2,3,33,2344,20,-14,30,-10,89,-7,2344,-8,-19,6,9,-14,142,81,32,30
24,-7,-8,22,199,-12,34,60,-16,-6,-8,-19,62,41,-9,-9,2343,4,-15,48,30,32,205,-11,43,2357,27,-3,0,125,-16,48,-12,-19,44,59,150,-16,-16,411
-18,4,135,-19,-11,1,-8,87,-15,76,44,143,53,118,2341,-6,172,-6,-6,2,-9,19,-5,-18,335,2358,-15,-20,12,2,12,-7,-5,-18,187,70,120,-11,-14,11
8,5,-15,8,-4,-5,-6,-12,-18,11,-9,-5,-12,-13,-13,-19,133,-11,1,24,33,17,6,19,61,-1,78,28,-15,16,8,116,-4,60,370,7,132,-1,-12,16
64,-10,-10,-17,-19,-12,-4,63,-3,-9,68,-9,-17,33,-2,-11,66,-7,-10,23,10,-6,248,46,360,1480,-13,-16,-13,9,6,-16,-4,6,-18,-12,105,89,-17,16
-11,48,-14,38,-5,-7,-6,65,-20,-1,38,2341,-8,-3,-18,-16,56,-12,-8,10,-6,-11,-9,8,7,-15,-11,2343,72,-14,8,-19,-7,-16,-15,80,130,-20,26,-7
-6,191,18,-10,35,10,-13,-14,-9,-17,-11,2347,-16,-2,-7,-11,-14,1,2,9,31,-18,-13,15,349,-18,-15,5,-20,-11,146,-17,-3,-5,15,-12,57,-8,-10,3
2341,-13,6,-16,109,-15,-5,-15,2,-13,53,153,61,86,2347,16,2,-9,3,7,-15,-20,17,-14,233,2349,133,-2,1,-20,12,-20,-9,-9,-9,-4,138,-12,-19,245
-18,-6,42,22,-12,-20,-19,28,-18,-12,-2,16,-14,-4,-19,29,-7,-19,-11,-6,6,-11,3,2348,2344,-18,-16,20,-19,-17,-15,5,-11,124,28,-13,52,12,-4,33
